DATE      	TIME
2011-05-21	00:54:45
2011-05-22	01:01:54
2011-05-23	01:10:53
2011-05-24	00:57:59
2011-05-25	01:13:07
2011-05-26	01:25:15
2011-05-27	00:58:19
2011-05-28	01:07:28
2011-05-29	01:17:15
2011-05-30	01:25:35
2011-05-31	01:45:12
2011-06-01	01:11:03
2011-06-02	01:14:34
2011-06-03	01:13:01
2011-06-04	01:07:15
2011-06-05	01:10:45
2011-06-06	01:11:25
2011-06-07	01:18:34
2011-06-08	01:42:09
2011-06-09	01:26:07
2011-06-10	01:14:46
2011-06-11	01:05:39
2011-06-12	01:22:56
2011-06-13	01:26:54
2011-06-14	01:07:08
2011-06-15	01:20:49
2011-06-16	01:24:00
2011-06-17	01:20:52
2011-06-18	01:02:21
2011-06-19	01:12:07
2011-06-20	01:21:49
2011-06-21	01:22:27
2011-06-22	01:10:15
2011-06-23	01:09:20
2011-06-24	01:16:57
2011-06-25	01:09:00
2011-06-26	01:01:57
2011-06-27	01:43:02
2011-06-28	01:18:47
2011-06-29	01:38:36
2011-06-30	01:30:40
2011-07-01	01:28:05
2011-07-02	01:09:06
2011-07-03	00:58:56
2011-07-04	01:19:09
2011-07-05	00:48:16
2011-07-06	01:09:07
2011-07-07	00:47:56
2011-07-08	01:01:54
2011-07-09	00:47:04
2011-07-10	00:47:05
2011-07-11	00:42:30
2011-07-12	00:55:38
2011-07-13	00:55:04
2011-07-14	01:01:50
2011-07-15	01:17:03
2011-07-16	00:49:01
2011-07-17	00:45:45
2011-07-18	00:56:03
2011-07-19	00:46:08
2011-07-20	01:02:47
2011-07-21	01:14:04
2011-07-22	00:51:46
2011-07-23	00:49:06
2011-07-24	00:53:48
2011-07-25	00:59:27
2011-07-26	00:55:16
2011-07-27	00:54:21
2011-07-28	00:55:05
2011-07-29	01:22:44
2011-07-30	00:45:59
2011-07-31	00:55:47
2011-08-01	00:57:15
2011-08-02	00:51:53
2011-08-03	00:50:51
2011-08-04	00:50:50
2011-08-05	00:52:06
2011-08-06	00:50:33
2011-08-07	00:56:21
2011-08-08	01:09:07
2011-08-09	01:09:29
2011-08-10	00:59:55
2011-08-11	00:56:26
2011-08-12	00:52:43
2011-08-13	01:01:47
2011-08-14	00:56:46
2011-08-15	01:07:25
2011-08-16	01:01:28
2011-08-17	01:03:48
2011-08-18	00:54:46
2011-08-19	01:12:02
2011-08-20	00:52:25
2011-08-21	01:07:21
2011-08-22	00:53:24
2011-08-23	01:08:57
2011-08-24	00:57:06
2011-08-25	00:52:15
2011-08-26	00:54:17
2011-08-27	00:51:28
2011-09-01	01:07:39
2011-09-02	00:59:26
2011-09-03	01:05:28
2011-09-04	00:58:35
2011-09-05	00:49:17
2011-09-06	01:05:15
2011-09-07	01:26:14
2011-09-08	01:30:49
2011-09-09	01:55:36
2011-09-10	01:41:09
2011-09-11	01:00:32
2011-09-12	00:58:28
2011-09-13	00:59:47
2011-09-14	01:32:44
2011-09-15	02:40:49
2011-09-16	02:29:52
2011-09-17	02:03:09
2011-09-18	01:51:46
2011-09-19	00:18:51
2011-09-20	01:19:04
2011-09-21	00:18:50
2011-09-22	00:18:52
2011-09-23	00:18:50
2011-09-24	02:05:36
2011-09-25	00:18:51
2011-09-26	00:18:50
2011-09-27	00:50:04
2011-09-28	00:18:50
2011-08-28	01:08:29
2011-08-29	01:05:32
2011-08-30	01:09:12
2011-08-31	01:09:27
2011-08-10	00:09:30
2011-09-05	00:19:57
2011-09-14	00:04:39
2011-09-19	01:34:41
2011-09-20	01:35:09
2011-09-21	01:34:23
2011-09-22	01:37:35
2011-09-23	01:38:11
2011-09-24	00:05:12
2011-09-25	01:42:50
